,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.8333333333333334,0.625,0.8333333333333334,0.8,Difference
2,11.0,1.0,1.0,11.0,11.0,1.0,1.0,0.001,9.333333333333334,7.25,9.333333333333334,9.0,Final
3,11.0,1.0,1.0,11.0,11.0,1.0,1.0,0.001,9.333333333333334,7.25,9.333333333333334,9.0,Starting
4,,,,,,,,,,,,,Difference
5,11.0,1.0,1.0,11.0,11.0,1.0,1.0,0.001,9.333333333333334,7.25,9.333333333333334,9.0,Final
6,11.0,1.0,1.0,11.0,11.0,1.0,1.0,0.001,9.333333333333334,7.25,9.333333333333334,9.0,Starting
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,-0.5,Difference
8,11.0,1.0,1.0,11.0,11.0,11.0,1.0,10.001,14.333333333333334,7.25,9.333333333333334,4.0,Final
9,11.0,1.0,1.0,11.0,11.0,11.0,1.0,10.001,14.333333333333334,7.25,9.333333333333334,4.0,Starting
10,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,Difference
11,21.0,1.0,11.0,21.0,11.0,11.0,1.0,20.000999999999998,14.333333333333334,7.25,9.333333333333334,0.001,Final
12,21.0,1.0,11.0,21.0,11.0,11.0,1.0,20.000999999999998,14.333333333333334,7.25,9.333333333333334,0.001,Starting
13,1.0,1.0,0.0,1.0,0.0,1.0,-0.5,0.0,0.0,1.0,1.0,0.7,Difference
14,31.0,11.0,11.0,31.0,11.0,21.0,0.001,20.000999999999998,14.333333333333334,17.25,19.333333333333336,7.001,Final
15,31.0,11.0,11.0,31.0,11.0,21.0,0.001,20.000999999999998,14.333333333333334,17.25,19.333333333333336,7.001,Starting
16,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.2857142857142857,1.0,-0.2,Difference
17,31.0,11.0,11.0,34.333333333333336,11.0,21.0,0.001,20.000999999999998,14.333333333333334,14.392857142857142,29.333333333333336,5.001,Final
18,31.0,11.0,11.0,34.333333333333336,11.0,21.0,0.001,20.000999999999998,14.333333333333334,14.392857142857142,29.333333333333336,5.001,Starting
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.25,Difference
20,31.0,11.0,11.0,34.333333333333336,11.0,21.0,0.001,20.000999999999998,14.333333333333334,19.392857142857142,29.333333333333336,2.5010000000000003,Final
21,31.0,11.0,11.0,34.333333333333336,11.0,21.0,0.001,20.000999999999998,14.333333333333334,19.392857142857142,29.333333333333336,2.5010000000000003,Starting
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,-0.25,Difference
23,31.0,11.0,11.0,34.333333333333336,11.0,21.0,0.001,20.000999999999998,14.333333333333334,23.678571428571427,29.333333333333336,0.001000000000000334,Final
24,31.0,11.0,11.0,34.333333333333336,11.0,21.0,0.001,20.000999999999998,14.333333333333334,23.678571428571427,29.333333333333336,0.001000000000000334,Starting
25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6666666666666666,0.0,0.7,Difference
26,31.0,11.0,11.0,34.333333333333336,11.0,31.0,0.001,20.000999999999998,14.333333333333334,17.01190476190476,29.333333333333336,7.001,Final
27,31.0,11.0,11.0,34.333333333333336,11.0,31.0,0.001,20.000999999999998,14.333333333333334,17.01190476190476,29.333333333333336,7.001,Starting
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.5,Difference
