,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,-1.0,-1.0,0.0,-0.6666666666666666,0.0,0.0,0.5,1.0,-1.0,0.2,-1.0,-0.8,Difference
2,0.001,0.001,1.0,0.33333333333333337,1.0,1.0,1.5,2.0,0.001,1.2,0.001,0.19999999999999996,Final
3,0.001,0.001,1.0,0.33333333333333337,1.0,1.0,1.5,2.0,0.001,1.2,0.001,0.19999999999999996,Starting
4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,1.0,0.8,Difference
5,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Final
6,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Starting
7,,,,,,,,,,,,,Difference
8,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Final
9,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Starting
10,,,,,,,,,,,,,Difference
11,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Final
12,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Starting
13,,,,,,,,,,,,,Difference
14,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Final
15,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Starting
16,,,,,,,,,,,,,Difference
17,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Final
18,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,1.001,1.0,Starting
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6666666666666666,Difference
20,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
21,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
22,,,,,,,,,,,,,Difference
23,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
24,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
25,,,,,,,,,,,,,Difference
26,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
27,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
28,,,,,,,,,,,,,Difference
29,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
30,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
31,,,,,,,,,,,,,Difference
32,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
33,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
34,,,,,,,,,,,,,Difference
35,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
36,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
37,,,,,,,,,,,,,Difference
38,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
39,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
40,,,,,,,,,,,,,Difference
41,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
42,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
43,,,,,,,,,,,,,Difference
44,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
45,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
46,,,,,,,,,,,,,Difference
47,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
48,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
49,,,,,,,,,,,,,Difference
50,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
51,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
52,,,,,,,,,,,,,Difference
53,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
54,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
55,,,,,,,,,,,,,Difference
56,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
57,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
58,,,,,,,,,,,,,Difference
59,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
60,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
61,,,,,,,,,,,,,Difference
62,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
63,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
64,,,,,,,,,,,,,Difference
65,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
66,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
67,,,,,,,,,,,,,Difference
68,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
69,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
70,,,,,,,,,,,,,Difference
71,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
72,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
73,,,,,,,,,,,,,Difference
74,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
75,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
76,,,,,,,,,,,,,Difference
77,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
78,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
79,,,,,,,,,,,,,Difference
80,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
81,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
82,,,,,,,,,,,,,Difference
83,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Final
84,1.001,0.001,2.0,1.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.2,2.001,0.33333333333333337,Starting
85,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,Difference
86,0.001,0.001,2.0,0.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.4857142857142858,2.001,0.33333333333333337,Final
87,0.001,0.001,2.0,0.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.4857142857142858,2.001,0.33333333333333337,Starting
88,,,,,,,,,,,,,Difference
89,0.001,0.001,2.0,0.3333333333333335,1.0,1.0,1.5,2.0,0.8343333333333334,1.4857142857142858,2.001,0.33333333333333337,Final
